line	tmin	tier	text	tmax
1	0	TokensAlign	#	0.113200
2	0.113200	TokensAlign	once	0.728200
3	0.728200	TokensAlign	when	0.919408
4	0.919408	TokensAlign	i	1.024887
5	1.024887	TokensAlign	was	1.158200
6	1.158200	TokensAlign	six	1.464064
7	1.464064	TokensAlign	years	1.671187
8	1.671187	TokensAlign	old	1.972900
9	1.972900	TokensAlign	#	2.342100
10	2.342100	TokensAlign	i	2.480433
11	2.480433	TokensAlign	saw	2.687100
12	2.687100	TokensAlign	a	2.851486
13	2.851486	TokensAlign	magnificent	3.723461
14	3.723461	TokensAlign	picture	4.297100
15	4.297100	TokensAlign	in	4.357100
16	4.357100	TokensAlign	a	4.437100
17	4.437100	TokensAlign	book	4.725305
18	4.725305	TokensAlign	about	4.947100
19	4.947100	TokensAlign	the	5.053069
20	5.053069	TokensAlign	primeval	5.634385
21	5.634385	TokensAlign	forest	6.247100
22	6.247100	TokensAlign	called	6.827100
23	6.827100	TokensAlign	real	7.277100
24	7.277100	TokensAlign	life	7.567100
25	7.567100	TokensAlign	stories	8.339100
26	8.339100	TokensAlign	#	9.247000
27	9.247000	TokensAlign	it	9.432000
28	9.432000	TokensAlign	showed	9.754797
29	9.754797	TokensAlign	a	9.812000
30	9.812000	TokensAlign	boa	10.176363
31	10.176363	TokensAlign	constrictor	10.875705
32	10.875705	TokensAlign	swallowing	11.486812
33	11.486812	TokensAlign	a	11.592000
34	11.592000	TokensAlign	wild	11.999880
35	11.999880	TokensAlign	animal	12.416100
36	12.416100	TokensAlign	#	13.144400
37	13.144400	TokensAlign	here	13.343573
38	13.343573	TokensAlign	is	13.469400
39	13.469400	TokensAlign	a	13.509400
40	13.509400	TokensAlign	copy	13.899993
41	13.899993	TokensAlign	of	13.999400
42	13.999400	TokensAlign	the	14.079400
43	14.079400	TokensAlign	drawing	14.463700
44	14.463700	TokensAlign	#	15.860400
45	15.860400	TokensAlign	it	16.023198
46	16.023198	TokensAlign	said	16.263999
47	16.263999	TokensAlign	in	16.365400
48	16.365400	TokensAlign	the	16.436527
49	16.436527	TokensAlign	book	16.755100
50	16.755100	TokensAlign	#	17.219000
51	17.219000	TokensAlign	boa	17.584000
52	17.584000	TokensAlign	constrictors	18.321912
53	18.321912	TokensAlign	swallow	18.811869
54	18.811869	TokensAlign	their	18.984000
55	18.984000	TokensAlign	prey	19.457550
56	19.457550	TokensAlign	whole	19.913324
57	19.913324	TokensAlign	without	20.334000
58	20.334000	TokensAlign	chewing	20.902200
59	20.902200	TokensAlign	#	21.560600
60	21.560600	TokensAlign	then	21.875600
61	21.875600	TokensAlign	they	22.005990
62	22.005990	TokensAlign	are	22.105600
63	22.105600	TokensAlign	not	22.305600
64	22.305600	TokensAlign	able	22.565600
65	22.565600	TokensAlign	to	22.705600
66	22.705600	TokensAlign	move	23.370930
67	23.370930	TokensAlign	and	23.625600
68	23.625600	TokensAlign	they	23.745426
69	23.745426	TokensAlign	sleep	24.149488
70	24.149488	TokensAlign	for	24.255600
71	24.255600	TokensAlign	the	24.355600
72	24.355600	TokensAlign	six	24.785600
73	24.785600	TokensAlign	months	25.135004
74	25.135004	TokensAlign	it	25.225600
75	25.225600	TokensAlign	takes	25.495600
76	25.495600	TokensAlign	for	25.605600
77	25.605600	TokensAlign	digestion	26.339100
78	26.339100	TokensAlign	#	27.291900
79	27.291900	TokensAlign	so	27.776766
80	27.776766	TokensAlign	i	27.886900
81	27.886900	TokensAlign	thought	28.166900
82	28.166900	TokensAlign	a	28.266323
83	28.266323	TokensAlign	lot	28.486900
