line,tmin,tier,text,tmax
2,0.045,TokensAlign,but,0.19
3,0.19,TokensAlign,it,0.3
4,0.3,TokensAlign,happened,0.79
5,0.79,TokensAlign,that,0.93
6,0.93,TokensAlign,the,1.01
7,1.01,TokensAlign,little,1.28
8,1.28,TokensAlign,prince,1.9143
10,2.1188,TokensAlign,having,2.5338
11,2.5338,TokensAlign,walked,2.9238
12,2.9238,TokensAlign,for,3.2138
13,3.2138,TokensAlign,a,3.3038
14,3.3038,TokensAlign,long,3.4938
15,3.4938,TokensAlign,time,3.8938
16,3.8938,TokensAlign,through,4.0938
17,4.0938,TokensAlign,the,4.1838
18,4.1838,TokensAlign,sands,4.9738
19,4.9738,TokensAlign,rocks,5.5738
20,5.5738,TokensAlign,and,5.6938
21,5.6938,TokensAlign,snow,6.1638
22,6.1638,TokensAlign,at,6.9338
23,6.9338,TokensAlign,last,7.4038
24,7.4038,TokensAlign,came,7.6338
25,7.6338,TokensAlign,across,7.9838
26,7.9838,TokensAlign,a,8.0738
27,8.0738,TokensAlign,road,8.4214
29,8.9052,TokensAlign,and,9.4402
30,9.4402,TokensAlign,all,9.7002
31,9.7002,TokensAlign,roads,10.1402
32,10.1402,TokensAlign,lead,10.3902
33,10.3902,TokensAlign,to,10.5002
34,10.5002,TokensAlign,the,10.5902
35,10.5902,TokensAlign,dwellings,11.0602
36,11.0602,TokensAlign,of,11.1802
37,11.1802,TokensAlign,men,11.4841
39,12.5267,TokensAlign,good,12.6817
40,12.6817,TokensAlign,morning,13.1667
42,13.3911,TokensAlign,he,13.4761
43,13.4761,TokensAlign,said,13.871
45,14.3897,TokensAlign,it,14.5247
46,14.5247,TokensAlign,was,14.6647
47,14.6647,TokensAlign,a,14.7147
48,14.7147,TokensAlign,garden,15.1947
49,15.1947,TokensAlign,covered,15.5347
50,15.5347,TokensAlign,in,15.6047
51,15.6047,TokensAlign,roses,16.2142
53,16.7929,TokensAlign,good,16.9379
54,16.9379,TokensAlign,morning,17.4828
56,17.7971,TokensAlign,said,18.0221
57,18.0221,TokensAlign,the,18.1621
58,18.1621,TokensAlign,roses,18.7369
60,19.5749,TokensAlign,good,19.7199
61,19.7199,TokensAlign,morning,20.2399
63,21.0729,TokensAlign,good,21.1879
64,21.1879,TokensAlign,morning,21.7279
66,22.4113,TokensAlign,good,22.6263
67,22.6263,TokensAlign,morning,23.0262
69,24.6275,TokensAlign,the,24.7025
70,24.7025,TokensAlign,little,24.9525
71,24.9525,TokensAlign,prince,25.4525
72,25.4525,TokensAlign,gazed,25.8125
73,25.8125,TokensAlign,at,25.9025
74,25.9025,TokensAlign,them,26.157
76,26.7157,TokensAlign,they,26.9207
77,26.9207,TokensAlign,all,27.1207
78,27.1207,TokensAlign,looked,27.5307
79,27.5307,TokensAlign,just,27.9207
80,27.9207,TokensAlign,like,28.1307
81,28.1307,TokensAlign,his,28.3307
82,28.3307,TokensAlign,flower,28.7299
84,29.5281,TokensAlign,who,29.7231
85,29.7231,TokensAlign,are,29.9531
86,29.9531,TokensAlign,you,30.2681
88,30.5324,TokensAlign,he,30.6674
89,30.6674,TokensAlign,asked,30.9874
90,30.9874,TokensAlign,them,31.1374
91,31.1374,TokensAlign,stunned,31.677
93,32.2706,TokensAlign,we,32.3756
94,32.3756,TokensAlign,re,32.4356
95,32.4356,TokensAlign,roses,33.3606
97,33.6798,TokensAlign,the,33.7948
98,33.7948,TokensAlign,roses,34.2548
99,34.2548,TokensAlign,said,34.6197
101,35.1235,TokensAlign,we,35.1885
102,35.1885,TokensAlign,re,35.2485
103,35.2485,TokensAlign,roses,36.0984
105,36.5373,TokensAlign,we,36.6523
106,36.6523,TokensAlign,re,36.7423
107,36.7423,TokensAlign,roses,37.4523
109,37.9361,TokensAlign,we,38.1011
110,38.1011,TokensAlign,re,38.2711
111,38.2711,TokensAlign,roses,38.9161
113,40.1383,TokensAlign,oh,40.5133
115,40.8175,TokensAlign,said,41.0125
116,41.0125,TokensAlign,the,41.1025
117,41.1025,TokensAlign,little,41.3525
118,41.3525,TokensAlign,prince,41.8522
120,42.5106,TokensAlign,and,42.6556
121,42.6556,TokensAlign,he,42.7556
122,42.7556,TokensAlign,suddenly,43.2756
123,43.2756,TokensAlign,felt,43.6056
124,43.6056,TokensAlign,very,44.0556
125,44.0556,TokensAlign,unhappy,44.6751
127,45.4732,TokensAlign,his,45.7682
128,45.7682,TokensAlign,flower,46.1582
129,46.1582,TokensAlign,had,46.3982
130,46.3982,TokensAlign,told,46.7082
131,46.7082,TokensAlign,him,46.8082
132,46.8082,TokensAlign,that,46.9982
133,46.9982,TokensAlign,she,47.3282
134,47.3282,TokensAlign,was,47.5382
135,47.5382,TokensAlign,the,47.6782
136,47.6782,TokensAlign,only,48.0282
137,48.0282,TokensAlign,one,48.2682
138,48.2682,TokensAlign,of,48.3882
139,48.3882,TokensAlign,her,48.5482
140,48.5482,TokensAlign,kind,49.0282
141,49.0282,TokensAlign,in,49.1282
142,49.1282,TokensAlign,the,49.2182
143,49.2182,TokensAlign,universe,49.5982
144,49.5982,TokensAlign,and,49.6982
