line,tmin,tier,text,tmax
2,0.3902,TokensAlign,there,0.6152
3,0.6152,TokensAlign,was,1.0452
4,1.0452,TokensAlign,next,1.4252
5,1.4252,TokensAlign,to,1.5252
6,1.5252,TokensAlign,the,1.6152
7,1.6152,TokensAlign,well,1.9751
9,2.3542,TokensAlign,the,2.5192
10,2.5192,TokensAlign,ruin,2.9192
11,2.9192,TokensAlign,of,3.0392
12,3.0392,TokensAlign,an,3.2292
13,3.2292,TokensAlign,old,3.5892
14,3.5892,TokensAlign,stone,4.0792
15,4.0792,TokensAlign,wall,4.5539
17,5.4618,TokensAlign,when,5.6168
18,5.6168,TokensAlign,i,5.7468
19,5.7468,TokensAlign,came,6.0868
20,6.0868,TokensAlign,back,6.3668
21,6.3668,TokensAlign,from,6.5468
22,6.5468,TokensAlign,my,6.6968
23,6.6968,TokensAlign,work,7.1068
24,7.1068,TokensAlign,the,7.2068
25,7.2068,TokensAlign,next,7.5768
26,7.5768,TokensAlign,evening,7.9609
28,8.4249,TokensAlign,i,8.5599
29,8.5599,TokensAlign,saw,8.8099
30,8.8099,TokensAlign,from,9.0199
31,9.0199,TokensAlign,a,9.0799
32,9.0799,TokensAlign,distance,9.6999
33,9.6999,TokensAlign,my,9.8799
34,9.8799,TokensAlign,little,10.1499
35,10.1499,TokensAlign,price,10.6299
36,10.6299,TokensAlign,sitting,10.9399
37,10.9399,TokensAlign,on,11.1399
38,11.1399,TokensAlign,top,11.3299
39,11.3299,TokensAlign,of,11.4499
40,11.4499,TokensAlign,it,11.6989
42,12.0231,TokensAlign,his,12.2681
43,12.2681,TokensAlign,feet,12.5381
44,12.5381,TokensAlign,hanging,12.9481
45,12.9481,TokensAlign,down,13.4177
47,14.0612,TokensAlign,and,14.2262
48,14.2262,TokensAlign,i,14.3662
49,14.3662,TokensAlign,heard,14.6262
50,14.6262,TokensAlign,him,14.8062
51,14.8062,TokensAlign,say,15.2512
53,15.7699,TokensAlign,don,15.9449
54,15.9449,TokensAlign,t,16.0049
55,16.0049,TokensAlign,you,16.0949
56,16.0949,TokensAlign,remember,16.5549
57,16.5549,TokensAlign,then,16.9499
59,17.289,TokensAlign,this,17.514
60,17.514,TokensAlign,isn,17.824
61,17.824,TokensAlign,t,17.854
62,17.854,TokensAlign,the,18.024
