line,tmin,tier,text,tmax
170,48.9326,TokensAlign,supply,49.4111
173,50.7583,TokensAlign,ah,51.4133
174,51.4133,TokensAlign,i,51.5733
175,51.5733,TokensAlign,said,51.8233
176,51.8233,TokensAlign,to,51.9433
177,51.9433,TokensAlign,the,52.0433
178,52.0433,TokensAlign,little,52.2833
179,52.2833,TokensAlign,prince,52.7679
181,53.4413,TokensAlign,these,53.6263
182,53.6263,TokensAlign,memories,54.0863
183,54.0863,TokensAlign,of,54.1663
184,54.1663,TokensAlign,yours,54.5163
185,54.5163,TokensAlign,are,54.5463
186,54.5463,TokensAlign,very,54.8663
187,54.8663,TokensAlign,charming,55.3911
189,55.7951,TokensAlign,but,55.9201
190,55.9201,TokensAlign,i,56.0601
191,56.0601,TokensAlign,haven,56.3501
192,56.3501,TokensAlign,t,56.3801
193,56.3801,TokensAlign,managed,56.7801
194,56.7801,TokensAlign,to,56.8801
195,56.8801,TokensAlign,repair,57.2001
196,57.2001,TokensAlign,my,57.3801
197,57.3801,TokensAlign,plane,57.7301
198,57.7301,TokensAlign,yet,58.0296
200,58.5234,TokensAlign,i,58.5784
201,58.5784,TokensAlign,have,58.7384
202,58.7384,TokensAlign,nothing,59.0684
203,59.0684,TokensAlign,left,59.3384
204,59.3384,TokensAlign,to,59.4284
205,59.4284,TokensAlign,drink,59.8281
207,60.3718,TokensAlign,and,60.5568
208,60.5568,TokensAlign,i,60.7468
209,60.7468,TokensAlign,too,61.0568
210,61.0568,TokensAlign,would,61.2668
211,61.2668,TokensAlign,be,61.4368
212,61.4368,TokensAlign,happy,61.8568
213,61.8568,TokensAlign,if,62.0268
214,62.0268,TokensAlign,i,62.1668
215,62.1668,TokensAlign,could,62.3968
216,62.3968,TokensAlign,walk,62.6968
217,62.6968,TokensAlign,slowly,63.2968
218,63.2968,TokensAlign,towards,63.6768
219,63.6768,TokensAlign,a,63.7268
220,63.7268,TokensAlign,spring,64.0868
221,64.0868,TokensAlign,of,64.2068
222,64.2068,TokensAlign,fresh,64.5568
223,64.5568,TokensAlign,water,64.9902
225,66.0677,TokensAlign,my,66.2227
226,66.2227,TokensAlign,friend,66.6027
227,66.6027,TokensAlign,the,66.7127
228,66.7127,TokensAlign,fox,67.3727
229,67.3727,TokensAlign,he,67.5927
230,67.5927,TokensAlign,said,67.8527
231,67.8527,TokensAlign,to,68.0027
232,68.0027,TokensAlign,me,68.2468
234,68.8104,TokensAlign,my,68.9354
235,68.9354,TokensAlign,dear,69.1354
236,69.1354,TokensAlign,fellow,69.5402
238,70.0241,TokensAlign,our,70.1691
239,70.1691,TokensAlign,situation,70.8691
240,70.8691,TokensAlign,has,71.0891
241,71.0891,TokensAlign,nothing,71.5791
242,71.5791,TokensAlign,to,71.6991
243,71.6991,TokensAlign,do,71.9191
244,71.9191,TokensAlign,with,72.0591
245,72.0591,TokensAlign,the,72.1391
246,72.1391,TokensAlign,fox,72.5291
247,72.5291,TokensAlign,anymore,72.9136
249,73.612,TokensAlign,why,73.787
250,73.787,TokensAlign,not,74.2368
252,74.9152,TokensAlign,because,75.2302
253,75.2302,TokensAlign,we,75.3502
254,75.3502,TokensAlign,will,75.5002
255,75.5002,TokensAlign,die,75.8302
256,75.8302,TokensAlign,of,75.9002
257,75.9002,TokensAlign,thirst,76.5749
259,77.358,TokensAlign,he,77.423
260,77.423,TokensAlign,didn,77.653
261,77.653,TokensAlign,t,77.733
262,77.733,TokensAlign,follow,78.083
263,78.083,TokensAlign,my,78.293
264,78.293,TokensAlign,reasoning,78.823
265,78.823,TokensAlign,and,79.133
266,79.133,TokensAlign,he,79.243
267,79.243,TokensAlign,answered,79.673
268,79.673,TokensAlign,me,79.9124
270,80.5908,TokensAlign,it,80.7458
271,80.7458,TokensAlign,s,80.8058
272,80.8058,TokensAlign,nice,81.1058
273,81.1058,TokensAlign,to,81.2158
274,81.2158,TokensAlign,have,81.3158
275,81.3158,TokensAlign,had,81.5558
276,81.5558,TokensAlign,a,81.5958
277,81.5958,TokensAlign,friend,82.0604
279,82.3846,TokensAlign,even,82.6296
280,82.6296,TokensAlign,if,82.7696
281,82.7696,TokensAlign,you,82.8696
282,82.8696,TokensAlign,re,82.9396
283,82.9396,TokensAlign,about,83.1696
284,83.1696,TokensAlign,to,83.3196
285,83.3196,TokensAlign,die,83.7145
287,84.4677,TokensAlign,myself,85.4427
288,85.4427,TokensAlign,i,85.6027
289,85.6027,TokensAlign,m,85.6627
290,85.6627,TokensAlign,glad,85.9727
291,85.9727,TokensAlign,to,86.0927
292,86.0927,TokensAlign,have,86.1927
293,86.1927,TokensAlign,had,86.4427
294,86.4427,TokensAlign,a,86.4727
295,86.4727,TokensAlign,fox,86.9027
296,86.9027,TokensAlign,as,87.0027
297,87.0027,TokensAlign,a,87.0527
298,87.0527,TokensAlign,friend,87.5414
300,88.4543,TokensAlign,he,88.5193
301,88.5193,TokensAlign,never,88.7793
302,88.7793,TokensAlign,considers,89.3093
303,89.3093,TokensAlign,the,89.3793
304,89.3793,TokensAlign,danger,90.0093
305,90.0093,TokensAlign,i,90.1593
306,90.1593,TokensAlign,said,90.3893
307,90.3893,TokensAlign,to,90.4993
308,90.4993,TokensAlign,myself,91.0536
310,91.5674,TokensAlign,he,91.6724
311,91.6724,TokensAlign,s,91.7324
312,91.7324,TokensAlign,never,92.0124
313,92.0124,TokensAlign,been,92.1724
314,92.1724,TokensAlign,hungry,92.7024
315,92.7024,TokensAlign,or,92.8224
316,92.8224,TokensAlign,thirsty,93.4221
318,93.8162,TokensAlign,a,93.8912
319,93.8912,TokensAlign,little,94.1612
320,94.1612,TokensAlign,sunshine,94.8112
321,94.8112,TokensAlign,is,94.9612
322,94.9612,TokensAlign,all,95.1012
323,95.1012,TokensAlign,he,95.2312
324,95.2312,TokensAlign,needs,95.6959
326,96.4891,TokensAlign,but,96.6341
327,96.6341,TokensAlign,he,96.7441
328,96.7441,TokensAlign,looked,97.0841
329,97.0841,TokensAlign,at,97.1841
330,97.1841,TokensAlign,me,97.3541
331,97.3541,TokensAlign,and,97.4741
332,97.4741,TokensAlign,replied,97.8641
333,97.8641,TokensAlign,to,97.9841
334,97.9841,TokensAlign,my,98.1341
335,98.1341,TokensAlign,thought,98.6335
337,99.1523,TokensAlign,i,99.2573
338,99.2573,TokensAlign,m,99.3373
339,99.3373,TokensAlign,also,99.6773
340,99.6773,TokensAlign,thirsty,100.2222
342,100.6961,TokensAlign,let,100.8411
343,100.8411,TokensAlign,s,100.9311
344,100.9311,TokensAlign,look,101.1011
345,101.1011,TokensAlign,for,101.2511
346,101.2511,TokensAlign,a,101.2911
347,101.2911,TokensAlign,well,101.6709
349,102.6236,TokensAlign,i,102.7486
350,102.7486,TokensAlign,made,103.0086
351,103.0086,TokensAlign,a,103.0586
352,103.0586,TokensAlign,gesture,103.6286
353,103.6286,TokensAlign,of,103.7486
354,103.7486,TokensAlign,weariness,104.3933
356,104.6327,TokensAlign,it,105.0177
357,105.0177,TokensAlign,s,105.0577
358,105.0577,TokensAlign,absurd,105.5077
359,105.5077,TokensAlign,to,105.7277
360,105.7277,TokensAlign,look,105.9377
361,105.9377,TokensAlign,for,106.0777
362,106.0777,TokensAlign,a,106.1177
363,106.1177,TokensAlign,well,106.5277
