line	tmin	tier	text	tmax
148	50.065200	TokensAlign	his	50.245200
149	50.245200	TokensAlign	discovery	50.904200
150	50.904200	TokensAlign	#	51.193600
151	51.193600	TokensAlign	at	51.348600
152	51.348600	TokensAlign	an	51.478600
153	51.478600	TokensAlign	international	52.198600
154	52.198600	TokensAlign	astronomy	52.718600
155	52.718600	TokensAlign	conference	53.377800
156	53.377800	TokensAlign	#	53.861600
157	53.861600	TokensAlign	but	54.146600
158	54.146600	TokensAlign	nobody	54.556600
159	54.556600	TokensAlign	had	54.666600
160	54.666600	TokensAlign	believed	55.146600
161	55.146600	TokensAlign	him	55.256600
162	55.256600	TokensAlign	because	55.546600
163	55.546600	TokensAlign	of	55.636600
164	55.636600	TokensAlign	his	55.766600
165	55.766600	TokensAlign	outfit	56.335700
166	56.335700	TokensAlign	#	56.784700
167	56.784700	TokensAlign	grownups	57.189700
168	57.189700	TokensAlign	are	57.239700
169	57.239700	TokensAlign	like	57.569700
170	57.569700	TokensAlign	that	57.899200
171	57.899200	TokensAlign	#	58.747200
172	58.747200	TokensAlign	fortunately	59.382200
173	59.382200	TokensAlign	for	59.522200
174	59.522200	TokensAlign	the	59.622200
175	59.622200	TokensAlign	reputation	60.302200
176	60.302200	TokensAlign	of	60.412200
177	60.412200	TokensAlign	asteroid	61.112200
178	61.112200	TokensAlign	b	61.372200
179	61.372200	TokensAlign	six_hundred_twelve	62.390900
180	62.390900	TokensAlign	#	62.745100
181	62.745100	TokensAlign	a	62.830100
182	62.830100	TokensAlign	turkish	63.410100
183	63.410100	TokensAlign	dictator	64.050100
184	64.050100	TokensAlign	imposed	64.600100
185	64.600100	TokensAlign	on	64.710100
186	64.710100	TokensAlign	his	64.910100
187	64.910100	TokensAlign	people	65.320100
188	65.320100	TokensAlign	on	65.470100
189	65.470100	TokensAlign	pain	65.770100
190	65.770100	TokensAlign	of	65.870100
191	65.870100	TokensAlign	death	66.570100
192	66.570100	TokensAlign	to	66.750100
193	66.750100	TokensAlign	dress	67.150100
194	67.150100	TokensAlign	themselves	67.700100
195	67.700100	TokensAlign	in	67.790100
196	67.790100	TokensAlign	the	67.910100
197	67.910100	TokensAlign	european	68.510100
198	68.510100	TokensAlign	fashion	69.057400
199	69.057400	TokensAlign	#	69.900400
200	69.900400	TokensAlign	the	70.015400
201	70.015400	TokensAlign	astronomer	70.585400
202	70.585400	TokensAlign	gave	70.875400
203	70.875400	TokensAlign	his	71.035400
204	71.035400	TokensAlign	presentation	71.725400
205	71.725400	TokensAlign	again	72.025400
206	72.025400	TokensAlign	in	72.145400
207	72.145400	TokensAlign	one_thousand_nine_hundred_twenty	73.165400
208	73.165400	TokensAlign	dressed	73.605400
209	73.605400	TokensAlign	very	73.985400
210	73.985400	TokensAlign	stylishly	74.759100
211	74.759100	TokensAlign	#	75.188000
212	75.188000	TokensAlign	and	75.353000
213	75.353000	TokensAlign	this	75.583000
214	75.583000	TokensAlign	time	75.932900
215	75.932900	TokensAlign	#	76.242100
216	76.242100	TokensAlign	everybody	76.827100
217	76.827100	TokensAlign	believed	77.067100
218	77.067100	TokensAlign	him	77.306900
219	77.306900	TokensAlign	#	78.544100
220	78.544100	TokensAlign	if	78.659100
221	78.659100	TokensAlign	i	78.749100
222	78.749100	TokensAlign	have	78.879100
223	78.879100	TokensAlign	told	79.139100
224	79.139100	TokensAlign	you	79.219100
225	79.219100	TokensAlign	these	79.439100
226	79.439100	TokensAlign	details	79.899100
227	79.899100	TokensAlign	about	80.179100
228	80.179100	TokensAlign	the	80.289100
229	80.289100	TokensAlign	asteroid	80.989100
230	80.989100	TokensAlign	b	81.209100
231	81.209100	TokensAlign	six_hundred_twelve	82.459100
232	82.459100	TokensAlign	and	82.669100
233	82.669100	TokensAlign	revealed	83.009100
234	83.009100	TokensAlign	to	83.109100
235	83.109100	TokensAlign	you	83.259100
236	83.259100	TokensAlign	its	83.459100
237	83.459100	TokensAlign	number	83.887200
238	83.887200	TokensAlign	#	84.236300
239	84.236300	TokensAlign	it	84.381300
240	84.381300	TokensAlign	s	84.421300
241	84.421300	TokensAlign	because	84.711300
242	84.711300	TokensAlign	of	84.791300
243	84.791300	TokensAlign	the	84.861300
244	84.861300	TokensAlign	grown	85.141300
245	85.141300	TokensAlign	ups	85.505700
246	85.505700	TokensAlign	#	85.969600
247	85.969600	TokensAlign	grownups	86.454600
248	86.454600	TokensAlign	love	86.684600
249	86.684600	TokensAlign	numbers	87.254200
250	87.254200	TokensAlign	#	87.688100
251	87.688100	TokensAlign	when	88.013100
252	88.013100	TokensAlign	you	88.133100
253	88.133100	TokensAlign	talk	88.413100
254	88.413100	TokensAlign	to	88.513100
255	88.513100	TokensAlign	them	88.633100
256	88.633100	TokensAlign	about	88.933100
257	88.933100	TokensAlign	a	88.993100
258	88.993100	TokensAlign	friend	89.447300
259	89.447300	TokensAlign	#	89.771500
260	89.771500	TokensAlign	they	89.906500
261	89.906500	TokensAlign	never	90.176500
262	90.176500	TokensAlign	ask	90.476500
263	90.476500	TokensAlign	you	90.556500
264	90.556500	TokensAlign	about	90.676500
265	90.676500	TokensAlign	any	90.766500
266	90.766500	TokensAlign	of	90.836500
267	90.836500	TokensAlign	the	90.916500
268	90.916500	TokensAlign	important	91.596500
269	91.596500	TokensAlign	things	91.990600
270	91.990600	TokensAlign	#	92.329800
271	92.329800	TokensAlign	they	92.434800
272	92.434800	TokensAlign	never	92.684800
273	92.684800	TokensAlign	ask	93.034800
274	93.034800	TokensAlign	you	93.234800
275	93.234800	TokensAlign	how	93.694800
276	93.694800	TokensAlign	does	93.834800
277	93.834800	TokensAlign	his	94.044800
278	94.044800	TokensAlign	voice	94.314800
279	94.314800	TokensAlign	sound	94.838800
280	94.838800	TokensAlign	#	95.073200
281	95.073200	TokensAlign	what	95.218200
282	95.218200	TokensAlign	games	95.708200
283	95.708200	TokensAlign	does	95.838200
284	95.838200	TokensAlign	he	95.938200
285	95.938200	TokensAlign	like	96.258200
286	96.258200	TokensAlign	best	96.672500
287	96.672500	TokensAlign	#	96.946800
288	96.946800	TokensAlign	does	97.051800
289	97.051800	TokensAlign	he	97.131800
290	97.131800	TokensAlign	collect	97.511800
291	97.511800	TokensAlign	butterflies	98.316100
292	98.316100	TokensAlign	#	98.929700
293	98.929700	TokensAlign	they	99.024700
294	99.024700	TokensAlign	ask	99.409600
295	99.409600	TokensAlign	#	99.713800
296	99.713800	TokensAlign	how	99.918800
297	99.918800	TokensAlign	old	100.098800
298	100.098800	TokensAlign	is	100.218800
299	100.218800	TokensAlign	he	100.408700
300	100.408700	TokensAlign	#	100.797800
301	100.797800	TokensAlign	how	100.922800
302	100.922800	TokensAlign	many	101.112800
303	101.112800	TokensAlign	brothers	101.502800
304	101.502800	TokensAlign	does	101.642800
305	101.642800	TokensAlign	he	101.792800
306	101.792800	TokensAlign	have	102.027600
307	102.027600	TokensAlign	#	102.267000
308	102.267000	TokensAlign	how	102.372000
309	102.372000	TokensAlign	much	102.592000
310	102.592000	TokensAlign	does	102.742000
311	102.742000	TokensAlign	he	102.832000
312	102.832000	TokensAlign	weigh	103.201900
313	103.201900	TokensAlign	#	103.630900
314	103.630900	TokensAlign	how	103.735900
315	103.735900	TokensAlign	much	103.935900
316	103.935900	TokensAlign	money	104.205900
317	104.205900	TokensAlign	does	104.345900
318	104.345900	TokensAlign	his	104.525900
319	104.525900	TokensAlign	father	104.855900
320	104.855900	TokensAlign	make	105.170600
321	105.170600	TokensAlign	#	105.804100
322	105.804100	TokensAlign	only	106.299100
323	106.299100	TokensAlign	then	106.549100
324	106.549100	TokensAlign	do	106.689100
325	106.689100	TokensAlign	they	106.839100
326	106.839100	TokensAlign	think	107.219100
327	107.219100	TokensAlign	they	107.329100
328	107.329100	TokensAlign	know	107.409100
329	107.409100	TokensAlign	him	107.863600
330	107.863600	TokensAlign	#	108.771400
331	108.771400	TokensAlign	if	108.886400
332	108.886400	TokensAlign	you	109.016400
333	109.016400	TokensAlign	said	109.286400
334	109.286400	TokensAlign	to	109.376400
335	109.376400	TokensAlign	the	109.466400
336	109.466400	TokensAlign	grownups	110.096100
337	110.096100	TokensAlign	#	110.599800
338	110.599800	TokensAlign	i	110.834800
339	110.834800	TokensAlign	saw	111.154800
340	111.154800	TokensAlign	a	111.284800
341	111.284800	TokensAlign	beautiful	112.004800
342	112.004800	TokensAlign	red	112.314800
343	112.314800	TokensAlign	brick	112.694800
344	112.694800	TokensAlign	house	113.124800
345	113.124800	TokensAlign	with	113.294800
346	113.294800	TokensAlign	geraniums	114.044800
347	114.044800	TokensAlign	by	114.234800
348	114.234800	TokensAlign	the	114.334800
349	114.334800	TokensAlign	windows	114.814800
350	114.814800	TokensAlign	and	114.974800
351	114.974800	TokensAlign	doves	115.434800
352	115.434800	TokensAlign	on	115.584800
353	115.584800	TokensAlign	the	115.674800
354	115.674800	TokensAlign	roof	116.022900
355	116.022900	TokensAlign	#	116.621400
356	116.621400	TokensAlign	they	116.726400
357	116.726400	TokensAlign	wouldn	116.996400
358	116.996400	TokensAlign	t	117.026400
359	117.026400	TokensAlign	be	117.176400
360	117.176400	TokensAlign	able	117.406400
361	117.406400	TokensAlign	to	117.506400
362	117.506400	TokensAlign	picture	117.996400
363	117.996400	TokensAlign	this	118.266400
364	118.266400	TokensAlign	house	118.546400
365	118.546400	TokensAlign	in	118.606400
366	118.606400	TokensAlign	their	118.766400
367	118.766400	TokensAlign	minds	119.310500
368	119.310500	TokensAlign	#	119.614800
369	119.614800	TokensAlign	you	119.859800
370	119.859800	TokensAlign	d	119.889800
371	119.889800	TokensAlign	have	120.139800
372	120.139800	TokensAlign	to	120.219800
