��line,tmin,tier,text,tmax
169,55.133,TokensAlign,what,55.4278
171,55.7221,TokensAlign,repeated,56.1271
172,56.1271,TokensAlign,the,56.2271
173,56.2271,TokensAlign,little,56.4471
174,56.4471,TokensAlign,prince,57.1971
175,57.1971,TokensAlign,who,57.3371
176,57.3371,TokensAlign,had,57.5771
177,57.5771,TokensAlign,never,57.9171
178,57.9171,TokensAlign,in,57.9871
179,57.9871,TokensAlign,his,58.1771
180,58.1771,TokensAlign,life,58.5871
181,58.5871,TokensAlign,let,58.7871
182,58.7871,TokensAlign,go,58.9871
183,58.9871,TokensAlign,of,59.0871
184,59.0871,TokensAlign,a,59.1371
185,59.1371,TokensAlign,question,59.7071
186,59.7071,TokensAlign,once,59.9071
187,59.9071,TokensAlign,he,60.0271
188,60.0271,TokensAlign,had,60.1171
189,60.1171,TokensAlign,asked,60.3671
190,60.3671,TokensAlign,it,60.5597
192,61.273,TokensAlign,the,61.348
193,61.348,TokensAlign,businessman,61.898
194,61.898,TokensAlign,raised,62.188
195,62.188,TokensAlign,his,62.368
196,62.368,TokensAlign,head,62.6377
198,63.7002,TokensAlign,during,63.9252
199,63.9252,TokensAlign,the,63.9852
200,63.9852,TokensAlign,fifty,64.2852
201,64.2852,TokensAlign,four,64.5252
202,64.5252,TokensAlign,years,64.7952
203,64.7952,TokensAlign,that,64.9752
204,64.9752,TokensAlign,i,65.0252
205,65.0252,TokensAlign,ve,65.1252
206,65.1252,TokensAlign,lived,65.3252
207,65.3252,TokensAlign,on,65.4352
208,65.4352,TokensAlign,this,65.6052
209,65.6052,TokensAlign,planet,66.1052
210,66.1052,TokensAlign,i,66.1852
211,66.1852,TokensAlign,ve,66.2452
212,66.2452,TokensAlign,only,66.7652
213,66.7652,TokensAlign,been,66.9952
214,66.9952,TokensAlign,disturbed,67.5052
215,67.5052,TokensAlign,three,67.7452
216,67.7452,TokensAlign,times,68.2392
218,68.8927,TokensAlign,the,69.0577
219,69.0577,TokensAlign,first,69.2277
220,69.2277,TokensAlign,time,69.4377
221,69.4377,TokensAlign,was,69.6077
222,69.6077,TokensAlign,twenty,69.8677
223,69.8677,TokensAlign,two,70.0077
224,70.0077,TokensAlign,years,70.3077
225,70.3077,TokensAlign,ago,70.5777
226,70.5777,TokensAlign,by,70.7677
227,70.7677,TokensAlign,some,71.1177
228,71.1177,TokensAlign,scatterbrain,72.0677
229,72.0677,TokensAlign,who,72.1877
230,72.1877,TokensAlign,fell,72.4777
231,72.4777,TokensAlign,from,72.7077
232,72.7077,TokensAlign,god,72.9777
233,72.9777,TokensAlign,knows,73.3077
234,73.3077,TokensAlign,where,73.5667
236,74.0356,TokensAlign,he,74.1006
237,74.1006,TokensAlign,made,74.2806
238,74.2806,TokensAlign,the,74.3906
239,74.3906,TokensAlign,most,74.5906
240,74.5906,TokensAlign,dreadful,75.0006
241,75.0006,TokensAlign,noise,75.4855
243,75.8795,TokensAlign,and,76.0045
244,76.0045,TokensAlign,i,76.1245
245,76.1245,TokensAlign,made,76.3645
246,76.3645,TokensAlign,four,76.6445
247,76.6445,TokensAlign,mistakes,77.2145
248,77.2145,TokensAlign,in,77.2845
249,77.2845,TokensAlign,a,77.3345
250,77.3345,TokensAlign,sum,77.6743
252,78.3826,TokensAlign,the,78.4476
253,78.4476,TokensAlign,second,78.6976
254,78.6976,TokensAlign,time,78.8976
255,78.8976,TokensAlign,was,79.0276
256,79.0276,TokensAlign,eleven,79.3376
257,79.3376,TokensAlign,years,79.5576
258,79.5576,TokensAlign,ago,79.8376
259,79.8376,TokensAlign,by,80.0076
260,80.0076,TokensAlign,an,80.0776
261,80.0776,TokensAlign,attack,80.4376
262,80.4376,TokensAlign,of,80.5376
263,80.5376,TokensAlign,rheumatism,81.1822
265,81.6112,TokensAlign,i,81.6862
266,81.6862,TokensAlign,don,81.8662
267,81.8662,TokensAlign,t,81.8962
268,81.8962,TokensAlign,get,82.0262
269,82.0262,TokensAlign,enough,82.2462
270,82.2462,TokensAlign,exercise,82.901
272,83.1154,TokensAlign,i,83.2004
273,83.2004,TokensAlign,don,83.3704
274,83.3704,TokensAlign,t,83.4104
275,83.4104,TokensAlign,have,83.5204
276,83.5204,TokensAlign,time,83.9004
277,83.9004,TokensAlign,to,83.9804
278,83.9804,TokensAlign,stroll,84.3004
279,84.3004,TokensAlign,about,84.7
281,85.0641,TokensAlign,i,85.1591
282,85.1591,TokensAlign,am,85.2191
283,85.2191,TokensAlign,a,85.2691
284,85.2691,TokensAlign,man,85.4491
285,85.4491,TokensAlign,of,85.5191
286,85.5191,TokensAlign,consequence,86.1587
288,86.8222,TokensAlign,the,87.1172
289,87.1172,TokensAlign,third,87.4872
290,87.4872,TokensAlign,time,87.863
,87.863,TokensAlign,well,88.1272
291,88.1272,TokensAlign,this,88.2872
292,88.2872,TokensAlign,is,88.4372
293,88.4372,TokensAlign,it,88.6817
295,89.1955,TokensAlign,i,89.2805
296,89.2805,TokensAlign,was,89.4205
297,89.4205,TokensAlign,saying,89.7505
298,89.7505,TokensAlign,then,90.3699
300,90.8187,TokensAlign,five,91.0537
301,91.0537,TokensAlign,hundred,91.4437
302,91.4437,TokensAlign,and,91.5637
303,91.5637,TokensAlign,one,91.9437
304,91.9437,TokensAlign,million,92.5588
306,92.853,TokensAlign,millions,93.308
307,93.308,TokensAlign,of,93.428
308,93.428,TokensAlign,what,93.9177
310,94.8706,TokensAlign,the,94.9356
311,94.9356,TokensAlign,businessman,95.5256
312,95.5256,TokensAlign,realised,96.1956
313,96.1956,TokensAlign,that,96.3056
314,96.3056,TokensAlign,there,96.4656
315,96.4656,TokensAlign,was,96.6556
316,96.6556,TokensAlign,no,96.9056
317,96.9056,TokensAlign,hope,97.2156
318,97.2156,TokensAlign,of,97.3456
319,97.3456,TokensAlign,being,97.6156
320,97.6156,TokensAlign,left,98.0456
321,98.0456,TokensAlign,in,98.1656
322,98.1656,TokensAlign,peace,98.6195
324,99.3029,TokensAlign,millions,99.8779
325,99.8779,TokensAlign,of,99.9779
326,99.9779,TokensAlign,those,100.2479
327,100.2479,TokensAlign,little,100.4779
328,100.4779,TokensAlign,objects,100.9379
329,100.9379,TokensAlign,that,101.0879
330,101.0879,TokensAlign,you,101.1679
331,101.1679,TokensAlign,see,101.4379
332,101.4379,TokensAlign,sometimes,101.9879
333,101.9879,TokensAlign,in,102.0879
334,102.0879,TokensAlign,the,102.1479
335,102.1479,TokensAlign,sky,102.5825
337,103.4355,TokensAlign,flies,104.0105
339,104.5442,TokensAlign,no,105.1392
340,105.1392,TokensAlign,no,105.4692
341,105.4692,TokensAlign,the,105.5892
342,105.5892,TokensAlign,little,105.8292
343,105.8292,TokensAlign,things,106.2092
344,106.2092,TokensAlign,that,106.3592
345,106.3592,TokensAlign,shine,106.9037
347,107.5871,TokensAlign,bees,108.0971
349,108.8552,TokensAlign,no,108.9602
350,108.9602,TokensAlign,no,109.4102
351,109.4102,TokensAlign,the,109.6202
352,109.6202,TokensAlign,little,110.2402
353,110.2402,TokensAlign,golden,110.9102
354,110.9102,TokensAlign,things,111.3002
355,111.3002,TokensAlign,that,111.4602
356,111.4602,TokensAlign,make,111.675
358,111.8745,TokensAlign,lazy,112.3695
359,112.3695,TokensAlign,men,112.6795
360,112.6795,TokensAlign,daydream,113.4043
362,114.1525,TokensAlign,as,114.3075
363,114.3075,TokensAlign,for,114.3975
364,114.3975,TokensAlign,me,115.0175
365,115.0175,TokensAlign,i,115.1275
366,115.1275,TokensAlign,am,115.2275
367,115.2275,TokensAlign,a,115.2775
368,115.2775,TokensAlign,man,115.4375
369,115.4375,TokensAlign,of,115.5175
370,115.5175,TokensAlign,consequence,116.1675
371,116.1675,TokensAlign,i,116.2175
372,116.2175,TokensAlign,i,116.2475
373,116.2475,TokensAlign,have,116.5975
374,116.5975,TokensAlign,no,116.7575
375,116.7575,TokensAlign,time,117.0575
376,117.0575,TokensAlign,to,117.1675
377,117.1675,TokensAlign,daydream,117.7465
379,118.2204,TokensAlign,ah,119.2954
380,119.2954,TokensAlign,the,119.3954
381,119.3954,TokensAlign,stars,120.5549
383,120.8192,TokensAlign,yes,121.1742
384,121.1742,TokensAlign,that,121.3842
385,121.3842,TokensAlign,s,121.4142
386,121.4142,TokensAlign,it,121.4842
387,121.4842,TokensAlign,the,121.5442
388,121.5442,TokensAlign,the,121.6042
389,121.6042,TokensAlign,stars,122.1389
391,122.9371,TokensAlign,and,123.1121
392,123.1121,TokensAlign,what,123.2621
393,123.2621,TokensAlign,do,123.3721
394,123.3721,TokensAlign,you,123.4821
395,123.4821,TokensAlign,do,123.8021
396,123.8021,TokensAlign,with,124.0321
397,124.0321,TokensAlign,five,124.2921
398,124.2921,TokensAlign,hundred,124.6421
399,124.6421,TokensAlign,million,125.0021
400,125.0021,TokensAlign,stars,125.5964
402,126.5492,TokensAlign,five,126.7742
403,126.7742,TokensAlign,hundred,127.1342
404,127.1342,TokensAlign,and,127.2342
405,127.2342,TokensAlign,one,127.4442
406,127.4442,TokensAlign,million,127.8842
407,127.8842,TokensAlign,six,128.2542
408,128.2542,TokensAlign,hundred,128.5242
409,128.5242,TokensAlign,twenty,128.8242
410,128.8242,TokensAlign,two,128.9742
411,128.9742,TokensAlign,thousand,129.5542
412,129.5542,TokensAlign,seven,129.8942
413,129.8942,TokensAlign,hundred,130.2442
414,130.2442,TokensAlign,thirty,130.6142
415,130.6142,TokensAlign,one,130.8836
417,131.4472,TokensAlign,i,131.5022
418,131.5022,TokensAlign,am,131.5822
419,131.5822,TokensAlign,a,131.6122
420,131.6122,TokensAlign,man,131.8022
421,131.8022,TokensAlign,of,131.8622
422,131.8622,TokensAlign,consequence,132.5321
424,132.7365,TokensAlign,i,132.8115
425,132.8115,TokensAlign,am,132.9415
426,132.9415,TokensAlign,precise,133.4514
428,134.2894,TokensAlign,and,134.4644
429,134.4644,TokensAlign,what,134.5944
430,134.5944,TokensAlign,do,134.7144
431,134.7144,TokensAlign,you,134.7744
432,134.7744,TokensAlign,do,134.9844
433,134.9844,TokensAlign,with,135.1644
434,135.1644,TokensAlign,these,135.3644
435,135.3644,TokensAlign,stars,135.9039
437,136.4626,TokensAlign,what,136.5576
438,136.5576,TokensAlign,do,136.6476
439,136.6476,TokensAlign,i,136.7476
440,136.7476,TokensAlign,do,136.9076
441,136.9076,TokensAlign,with,137.0876
442,137.0876,TokensAlign,them,137.3124
444,137.7612,TokensAlign,yes,138.2012
446,138.8198,TokensAlign,nothing,139.2498
448,139.5839,TokensAlign,i,139.7889
449,139.7889,TokensAlign,own,139.9889
450,139.9889,TokensAlign,them,140.2039
452,141.0519,TokensAlign,you,141.2569
453,141.2569,TokensAlign,own,141.6969
454,141.6969,TokensAlign,the,141.7869
455,141.7869,TokensAlign,stars,142.5865
457,143.1601,TokensAlign,yes,143.5601
459,144.4829,TokensAlign,but,144.5979
460,144.5979,TokensAlign,i,144.6279
461,144.6279,TokensAlign,ve,144.7779
462,144.7779,TokensAlign,already,145.1279
463,145.1279,TokensAlign,seen,145.3579
464,145.3579,TokensAlign,a,145.4379
465,145.4379,TokensAlign,king,145.8179
466,145.8179,TokensAlign,who,146.1676
468,146.3721,TokensAlign,kings,146.8371
469,146.8371,TokensAlign,don,147.1071
470,147.1071,TokensAlign,t,147.2871
471,147.2871,TokensAlign,own,147.6871
472,147.6871,TokensAlign,they,147.9171
473,147.9171,TokensAlign,reign,148.3871
474,148.3871,TokensAlign,over,148.5571
475,148.5571,TokensAlign,over,148.8117
477,149.0462,TokensAlign,it,149.1412
478,149.1412,TokensAlign,s,149.1912
479,149.1912,TokensAlign,very,149.4212
480,149.4212,TokensAlign,different,149.9207
482,150.7687,TokensAlign,and,151.1237
483,151.1237,TokensAlign,how,151.4137
484,151.4137,TokensAlign,does,151.8037
485,151.8037,TokensAlign,owning,152.0637
486,152.0637,TokensAlign,the,152.1437
487,152.1437,TokensAlign,stars,152.7437
488,152.7437,TokensAlign,help,153.1137
489,153.1137,TokensAlign,you,153.3426
491,154.1009,TokensAlign,it,154.2359
492,154.2359,TokensAlign,helps,154.6059
493,154.6059,TokensAlign,by,154.7459
494,154.7459,TokensAlign,making,155.0559
495,155.0559,TokensAlign,me,155.2159
496,155.2159,TokensAlign,rich,155.6354
498,156.6629,TokensAlign,and,156.8079
499,156.8079,TokensAlign,how,157.0779
500,157.0779,TokensAlign,does,157.3279
501,157.3279,TokensAlign,being,157.5579
502,157.5579,TokensAlign,rich,157.9879
503,157.9879,TokensAlign,help,158.3079
504,158.3079,TokensAlign,you,158.5273
506,159.2057,TokensAlign,to,159.2707
507,159.2707,TokensAlign,buy,159.5107
508,159.5107,TokensAlign,more,159.7407
509,159.7407,TokensAlign,stars,160.4807
510,160.4807,TokensAlign,if,160.6507
511,160.6507,TokensAlign,someone,160.9507
512,160.9507,TokensAlign,discovers,161.3807
513,161.3807,TokensAlign,some,161.5507
514,161.5507,TokensAlign,more,161.8401
516,162.9875,TokensAlign,this,163.3625
517,163.3625,TokensAlign,man,163.9674
519,164.1968,TokensAlign,the,164.2618
520,164.2618,TokensAlign,little,164.4818
521,164.4818,TokensAlign,prince,164.8518
522,164.8518,TokensAlign,said,165.0318
523,165.0318,TokensAlign,to,165.1218
524,165.1218,TokensAlign,himself,165.6464
526,166.1402,TokensAlign,reasons,166.7452
527,166.7452,TokensAlign,a,166.8152
528,166.8152,TokensAlign,bit,167.1052
529,167.1052,TokensAlign,like,167.3052
530,167.3052,TokensAlign,my,167.4652
531,167.4652,TokensAlign,poor,167.7052
532,167.7052,TokensAlign,drinker,168.2396
534,169.0177,TokensAlign,but,169.2827
535,169.2827,TokensAlign,he,169.4027
536,169.4027,TokensAlign,still,169.6927
537,169.6927,TokensAlign,had,169.9427
538,169.9427,TokensAlign,some,170.1227
539,170.1227,TokensAlign,questions,170.8321
541,171.8398,TokensAlign,how,172.0148
542,172.0148,TokensAlign,can,172.1648
543,172.1648,TokensAlign,you,172.4148
544,172.4148,TokensAlign,own,172.7848
545,172.7848,TokensAlign,the,172.8748
546,172.8748,TokensAlign,stars,173.7142
548,174.3028,TokensAlign,who,174.4778
