��line,tmin,tier,text,tmax
2,0.2101,TokensAlign,he,0.3151
3,0.3151,TokensAlign,found,0.6551
4,0.6551,TokensAlign,himself,1.1951
5,1.1951,TokensAlign,in,1.2851
6,1.2851,TokensAlign,the,1.3951
7,1.3951,TokensAlign,neighborhood,1.9051
8,1.9051,TokensAlign,of,2.0151
9,2.0151,TokensAlign,the,2.1251
10,2.1251,TokensAlign,asteroids,2.8851
11,2.8851,TokensAlign,three,3.0951
12,3.0951,TokensAlign,two,3.2851
13,3.2851,TokensAlign,five,3.7444
15,4.0137,TokensAlign,three,4.2287
16,4.2287,TokensAlign,two,4.3987
17,4.3987,TokensAlign,six,4.9687
18,4.9687,TokensAlign,three,5.2687
19,5.2687,TokensAlign,two,5.4287
20,5.4287,TokensAlign,seven,5.9279
22,6.2222,TokensAlign,three,6.4272
23,6.4272,TokensAlign,two,6.7772
24,6.7772,TokensAlign,eight,7.037
26,7.2664,TokensAlign,three,7.4814
27,7.4814,TokensAlign,two,7.6614
28,7.6614,TokensAlign,nine,8.0414
29,8.0414,TokensAlign,and,8.1514
30,8.1514,TokensAlign,three,8.7414
31,8.7414,TokensAlign,three,8.9814
32,8.9814,TokensAlign,zero,9.3757
34,9.8596,TokensAlign,so,10.3146
35,10.3146,TokensAlign,he,10.4646
36,10.4646,TokensAlign,began,10.9146
37,10.9146,TokensAlign,by,11.1446
38,11.1446,TokensAlign,visiting,11.6546
39,11.6546,TokensAlign,them,11.8646
40,11.8646,TokensAlign,to,12.0546
41,12.0546,TokensAlign,learn,12.3446
42,12.3446,TokensAlign,more,12.699
44,13.532,TokensAlign,the,13.927
45,13.927,TokensAlign,first,14.347
46,14.347,TokensAlign,one,14.547
47,14.547,TokensAlign,was,14.767
48,14.767,TokensAlign,inhabited,15.277
49,15.277,TokensAlign,by,15.507
50,15.507,TokensAlign,a,15.547
51,15.547,TokensAlign,king,15.986
53,16.7043,TokensAlign,the,16.7993
54,16.7993,TokensAlign,king,16.9793
55,16.9793,TokensAlign,was,17.2993
56,17.2993,TokensAlign,sitting,17.7093
